"cell_id","cell_type"
"W31105","Multipotent progenitors"
"W31106","Monocytes"
"W31107","Erythrocyte"
"W31108","Monocytes"
"W31109","Erythrocyte"
"W31110","Monocytes"
"W31111","Erythrocyte"
"W31113","Erythrocyte"
"W31114","Erythrocyte"
"W31115","Erythrocyte"
"W31116","Erythrocyte"
"W31117","Neutrophils"
"W31118","Monocytes"
"W31119","Basophils"
"W31120","Erythrocyte"
"W31121","Multipotent progenitors"
"W31122","Erythrocyte"
"W31123","Erythrocyte"
"W31124","Erythrocyte"
"W31125","Megakaryocytes"
"W31126","Erythrocyte"
"W31127","GMP"
"W31128","Megakaryocytes"
"W31129","GMP"
"W31130","Monocytes"
"W31131","Neutrophils"
"W31132","Erythrocyte"
"W31133","Basophils"
"W31134","Neutrophils"
"W31136","Erythrocyte"
"W31137","Erythrocyte"
"W31138","Erythrocyte"
"W31139","Erythrocyte"
"W31140","Erythrocyte"
"W31141","Basophils"
"W31142","Erythrocyte"
"W31143","Erythrocyte"
"W31144","Erythrocyte"
"W31145","Monocytes"
"W31146","Erythrocyte"
"W31147","Erythrocyte"
"W31148","Monocytes"
"W31150","Basophils"
"W31151","Erythrocyte"
"W31152","Monocytes"
"W31153","Erythrocyte"
"W31154","Erythrocyte"
"W31155","Multipotent progenitors"
"W31156","Erythrocyte"
"W31157","Basophils"
"W31158","Monocytes"
"W31159","Erythrocyte"
"W31161","Erythrocyte"
"W31162","Erythrocyte"
"W31163","Erythrocyte"
"W31164","Monocytes"
"W31165","Erythrocyte"
"W31166","Basophils"
"W31167","Erythrocyte"
"W31168","Basophils"
"W31169","Basophils"
"W31170","Monocytes"
"W31171","Multipotent progenitors"
"W31172","Multipotent progenitors"
"W31173","Multipotent progenitors"
"W31174","GMP"
"W31175","Basophils"
"W31176","Erythrocyte"
"W31177","Erythrocyte"
"W31178","Erythrocyte"
"W31179","Monocytes"
"W31180","Erythrocyte"
"W31181","Neutrophils"
"W31182","Neutrophils"
"W31183","Erythrocyte"
"W31184","Erythrocyte"
"W31185","Erythrocyte"
"W31186","Basophils"
"W31187","Basophils"
"W31188","GMP"
"W31189","Monocytes"
"W31190","Erythrocyte"
"W31191","Multipotent progenitors"
"W31192","Multipotent progenitors"
"W31193","Erythrocyte"
"W31194","Erythrocyte"
"W31195","Erythrocyte"
"W31196","GMP"
"W31197","GMP"
"W31198","Erythrocyte"
"W31199","Multipotent progenitors"
"W31200","Erythrocyte"
"W31201","Multipotent progenitors"
"W31202","Monocytes"
"W31203","Neutrophils"
"W31204","GMP"
"W31205","Erythrocyte"
"W31206","Erythrocyte"
"W31207","Basophils"
"W31209","Erythrocyte"
"W31210","Monocytes"
"W31211","Monocytes"
"W31212","Erythrocyte"
"W31213","Erythrocyte"
"W31214","Erythrocyte"
"W31215","Erythrocyte"
"W31217","Erythrocyte"
"W31218","Monocytes"
"W31219","GMP"
"W31220","Erythrocyte"
"W31221","Multipotent progenitors"
"W31222","Erythrocyte"
"W31223","GMP"
"W31224","Multipotent progenitors"
"W31225","Erythrocyte"
"W31226","Neutrophils"
"W31228","GMP"
"W31229","Erythrocyte"
"W31230","Erythrocyte"
"W31231","Erythrocyte"
"W31232","Erythrocyte"
"W31233","Erythrocyte"
"W31234","Erythrocyte"
"W31236","Erythrocyte"
"W31237","Monocytes"
"W31238","Erythrocyte"
"W31239","Monocytes"
"W31240","Erythrocyte"
"W31241","Erythrocyte"
"W31242","Neutrophils"
"W31243","Erythrocyte"
"W31244","Basophils"
"W31245","Neutrophils"
"W31246","Erythrocyte"
"W31247","Erythrocyte"
"W31248","Erythrocyte"
"W31249","Monocytes"
"W31250","Erythrocyte"
"W31251","Neutrophils"
"W31252","Monocytes"
"W31253","Monocytes"
"W31254","Basophils"
"W31255","Erythrocyte"
"W31256","Monocytes"
"W31257","Multipotent progenitors"
"W31259","Monocytes"
"W31260","GMP"
"W31262","Erythrocyte"
"W31263","Monocytes"
"W31264","Monocytes"
"W31265","Monocytes"
"W31266","Neutrophils"
"W31267","GMP"
"W31268","Multipotent progenitors"
"W31269","Erythrocyte"
"W31270","Neutrophils"
"W31271","Erythrocyte"
"W31272","Neutrophils"
"W31273","Monocytes"
"W31274","GMP"
"W31275","Neutrophils"
"W31276","Megakaryocytes"
"W31277","Multipotent progenitors"
"W31278","Monocytes"
"W31279","Multipotent progenitors"
"W31280","Erythrocyte"
"W31281","Monocytes"
"W31282","Monocytes"
"W31283","Erythrocyte"
"W31284","Erythrocyte"
"W31285","Monocytes"
"W31286","Monocytes"
"W31287","GMP"
"W31288","Erythrocyte"
"W31289","Erythrocyte"
"W31290","Monocytes"
"W31291","Erythrocyte"
"W31292","Erythrocyte"
"W31293","Monocytes"
"W31294","Erythrocyte"
"W31295","Monocytes"
"W31296","Neutrophils"
"W31297","Megakaryocytes"
"W31298","Erythrocyte"
"W31299","Monocytes"
"W31300","Basophils"
"W31301","Monocytes"
"W31302","Erythrocyte"
"W31303","Erythrocyte"
"W31305","Neutrophils"
