gene_id,is_de,timing_group,effect_stratum,effect_type,true_tau,true_kappa,true_delta1,true_delta2,target_abs_mean_posttau_log2fc,true_abs_mean_posttau_log2fc,true_r
gene_0001,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,39.53130299983974
gene_0002,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,39.06677196433078
gene_0003,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,37.35425832773141
gene_0004,True,early,moderate,symmetric,0.2189145059791474,28.0,-0.5418864972624095,0.5938866167831057,1.5345578439514105,1.5345578439514105,37.329779878668106
gene_0005,True,late,weak,symmetric,0.7488334533750066,28.0,0.33916817595140664,-0.358710057148307,0.8085803711146287,0.8085803711146287,26.06411173490151
gene_0006,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,39.33670018559968
gene_0007,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,37.75644583808919
gene_0008,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,34.33954330955818
gene_0009,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,29.503938753645613
gene_0010,True,middle,weak,symmetric,0.44703869939435437,24.0,0.24643618642001314,-0.2500819777397634,0.641456917380172,0.641456917380172,36.86366479160096
gene_0011,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,24.623269130384838
gene_0012,True,middle,weak,symmetric,0.48264141288012863,12.0,-0.25363668963020614,0.2802214205497803,0.5986911792577858,0.5986911792577859,31.527484582222748
gene_0013,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,38.00617860083376
gene_0014,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,36.47807629765116
gene_0015,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,39.957846122764096
gene_0016,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,37.003183711702235
gene_0017,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,24.58138635322619
gene_0018,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,24.840035681692342
gene_0019,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,28.344343387082723
gene_0020,False,nonDE,nonDE,nonDE,,,0.0,0.0,0.0,0.0,24.061160211374116
